Iteration,Energy,Magnetization
0,-96,98
1,-96,96
2,-92,94
3,-88,92
4,-84,90
5,-80,88
6,-76,86
7,-72,84
8,-68,82
9,-64,80
10,-60,78
11,-56,76
12,-56,78
13,-56,78
14,-52,76
15,-52,76
16,-52,76
17,-48,74
18,-44,72
19,-48,74
20,-44,72
21,-40,70
22,-40,70
23,-36,68
24,-36,68
25,-36,68
26,-32,66
27,-28,64
28,-24,62
29,-20,60
30,-20,58
31,-16,56
32,-16,56
33,-12,54
34,-8,52
35,-4,50
36,-4,50
37,0,48
38,4,46
39,4,44
40,4,44
41,4,42
42,4,40
43,8,38
44,8,38
45,8,38
46,4,36
47,4,34
48,4,34
49,4,32
50,8,30
51,8,32
52,8,34
53,8,36
54,4,38
55,4,36
56,4,38
57,4,36
58,4,34
59,4,32
60,8,30
61,4,32
62,0,30
63,4,28
64,4,26
65,4,24
66,8,22
67,8,24
68,12,26
69,12,24
70,12,22
71,8,24
72,8,26
73,8,24
74,12,22
75,16,20
76,12,22
77,12,20
78,12,22
79,8,20
80,12,18
81,12,20
82,12,18
83,16,16
84,16,14
85,16,12
86,12,10
87,12,8
88,12,10
89,12,12
90,16,10
91,16,10
92,16,10
93,16,8
94,20,6
95,20,4
96,20,4
97,24,6
98,24,4
99,24,4
100,28,2
101,28,0
102,32,2
103,32,0
104,32,-2
105,32,-2
106,32,-2
107,32,0
108,32,0
109,32,0
110,32,0
111,32,2
112,28,4
113,28,6
114,28,8
115,32,10
116,32,10
117,36,8
118,32,6
119,32,6
120,32,6
121,32,6
122,32,8
123,32,6
124,28,8
125,28,6
126,32,8
127,32,8
128,32,10
129,28,12
130,28,10
131,28,12
132,28,10
133,28,8
134,24,6
135,24,6
136,24,6
137,28,4
138,28,6
139,28,6
140,28,6
141,28,4
142,28,4
143,28,2
144,28,0
145,24,2
146,24,4
147,24,6
148,24,4
149,24,6
150,24,4
151,24,2
152,24,0
153,20,-2
154,20,-2
155,20,-4
156,20,-2
157,20,0
158,24,2
159,24,2
160,20,4
161,24,2
162,24,0
163,24,0
164,24,-2
165,20,0
166,16,2
167,16,4
168,16,6
169,16,4
170,16,2
171,20,0
172,16,-2
173,20,0
174,20,2
175,20,0
176,20,-2
177,20,0
178,16,-2
179,16,-2
180,20,0
181,20,-2
182,16,-4
183,12,-6
184,12,-6
185,12,-6
186,16,-4
187,16,-2
188,16,-4
189,16,-4
190,16,-2
191,16,0
192,16,0
193,16,-2
194,16,-2
195,20,-4
196,20,-2
197,20,0
198,20,2
199,20,0
200,20,2
201,20,0
202,20,0
203,20,-2
204,16,-4
205,16,-4
206,16,-2
207,20,0
208,16,2
209,12,4
210,8,2
211,12,4
212,8,6
213,8,8
214,8,8
215,8,6
216,12,4
217,8,6
218,4,4
219,4,2
220,4,0
221,4,0
222,8,-2
223,8,-2
224,8,-4
225,8,-4
226,8,-2
227,4,-4
228,8,-2
229,12,-4
230,12,-4
231,8,-2
232,8,-4
233,12,-2
234,8,-4
235,12,-2
236,8,0
237,8,-2
238,8,-4
239,8,-2
240,8,-4
241,8,-6
242,8,-4
243,8,-4
244,8,-4
245,8,-2
246,12,0
247,12,-2
248,8,0
249,8,0
250,4,2
251,4,4
252,8,2
253,4,4
254,0,6
255,0,4
256,0,4
257,0,6
258,4,4
259,4,6
260,8,4
